"","otu48366","otu64777","otu47902","otu2986","otu10322","otu37875","otu16663","otu1555","otu18184","otu44494","otu70728","otu16779","otu11411"
"X0.1.1",3.44149459193707,4.84914350773689,1.14371474408736,0.450240645862444,0.574444961962428,0.496817264399938,0.326036329762459,0.165605754799979,0.181131294312477,0.315685970087461,0.688298918387414,0.470941365212441,0.134554675774983
"X0.2.1",7.2896129500882,8.70084051053232,1.88336619279859,4.00539587008405,1.19850575905365,0.954653937947494,0.482515305593027,1.45273425339836,0.451385285877348,3.0144235758016,1.29189581820068,0.601847047836464,1.43716924354052
"X0.3.1",1.68205974923895,44.667457819514,12.0014447138951,0.0154790774469842,0.340539703833652,0.257984624116403,3.1628914916671,0.00515969248232805,0.108353542128889,0.0103193849646561,2.23930653733038,1.5995046695217,0
"X0.4.1",4.65428970367689,31.5871127889538,7.58649221699333,0,0.796400682629157,0.630914826498423,2.35817344986296,0,0.30511454724104,0.00517143300408543,1.3497440140663,0.977400837772147,0.00517143300408543
"X0.5.1",1.48392415498763,44.9093157460841,12.6751854905194,0,0.273083264633141,0.237015663643858,3.37489694971146,0,0.103050288540808,0.0051525144270404,1.0459604286892,0.690436933223413,0
"X0.6.1",1.45580768832245,49.4663765412911,15.2212205989017,0.0155424308361828,0.217594031706559,0.238317272821469,4.46067764998446,0,0.0673505336234587,0,0.803025593202777,0.626878043726039,0
"X0.7.1",1.62740235585865,46.9105187022112,12.8642281463112,0,0.23248605083695,0.242818764207481,3.54412068609217,0,0.103327133705311,0,0.681959082455053,0.521802025211821,0
"X0.8.1",0.706476897689769,54.878300330033,15.9344059405941,0,0.139232673267327,0.108292079207921,4.20276402640264,0,0.0206270627062706,0,0.59302805280528,0.489892739273927,0
"X0.9.1",4.4438682914182,41.6074669432201,11.5219082188229,0,0.80373347161006,0.642986777288048,3.09048483277158,0,0.222971221156339,0.0103707544723879,0.357791029297381,0.280010370754472,0
"X0.10.1",3.66149244494869,34.5108555515445,8.7256974885256,0,0.608529730287247,0.567273477386416,2.59914393275231,0,0.237223454179774,0.0103140632252076,0.19081016966634,0.175339074828529,0
"X0.11.1",4.14782473101513,34.2481417953116,8.39440719372109,0,0.769270752118093,0.535370861271376,2.86397421903425,0,0.259888767607464,0.0103955507042986,0.109153282395135,0.0883621809865378,0
"X0.12.1",5.1723241669699,33.64349950616,9.02947445027811,0,0.831730519311743,0.764152414617664,2.87986692311691,0,0.29110568175911,0,0.0883713676768727,0.0415865259655871,0
"X0.13.1",4.77567246631215,30.8740771335639,7.78563684237699,0,0.691827146471165,0.635035365790696,2.43688368010739,0,0.252981568485725,0,0.0361402240693892,0.0413031132221591,0
"X0.14.1",7.41812170678789,26.8106209319145,6.5502634569687,0,1.10032028102077,1.00216964562455,2.14898233288563,0,0.45975823948755,0.0154974687467714,0.0206632916623618,0.0154974687467714,0
"X0.15.1",3.93570987018339,37.069853698743,9.74654852668452,0,0.613022872450031,0.571811250772718,3.16814341644344,0,0.226663919225221,0.00515145270966413,0.00515145270966413,0.0103029054193283,0
"X0.1.2",8.13441723191633,4.22513332988143,0.942370424066691,0.647232434111738,1.20126339771139,1.14948480298245,0.367628022575467,0.352094444156786,0.398695179412831,0.502252368870709,0.787034639879874,0.512608087816497,0.248537254698907
"X0.2.2",13.8367389274971,4.66237942122186,0.84534799294679,1.96037755419562,2.27154859454413,2.05891505030598,0.285240120319469,0.777927600871279,0.689762472772534,2.39083082667773,0.710507208795768,0.373405248418214,1.41582823358573
"X0.3.2",19.3695798930259,12.6291738069274,2.89764760866179,0.275224593654256,3.16767928545464,3.05343511450382,1.16840629381524,0.0986654203666199,0.919146284467986,0.238874175624448,0.675079191982136,0.524484603001506,0.166173339564834
"X0.4.2",18.3752919802751,7.83285751362575,1.46898520633273,0,3.08850246561121,2.57461718141708,0.513885284194134,0,1.16273033999481,0.0311445626784324,0.84609395276408,0.446405398390864,0.0207630417856216
"X0.5.2",5.68511608623549,29.228855721393,7.29684908789386,0,1.03648424543947,0.969112769485904,2.26990049751244,0,0.336857379767828,0.0103648424543947,0.829187396351575,0.533789386401327,0
"X0.6.2",6.69199146588958,31.5241713066556,8.7995004423167,0,1.13961596503096,1.08237498048603,2.91929021179164,0,0.338242181401884,0,0.874225945777176,0.676484362803768,0
"X0.7.2",9.11313394018205,24.4681404421326,5.62288686605982,0.0104031209362809,1.25877763328999,1.27438231469441,2.22626788036411,0,0.514954486345904,0,1.06111833550065,0.837451235370611,0
"X0.8.2",6.98563604422858,36.5299162963728,9.89459543246874,0,1.1522165960525,1.03854500361682,3.52381936550584,0,0.320347215045985,0.0103337811305157,0.733698460266612,0.511522165960525,0
"X0.9.2",9.60487271591442,25.3526992555573,6.67916081003696,0,1.61382685199646,1.71273882034463,2.31141652350461,0,0.541412879379457,0.0104117861419126,0.718413243791972,0.484148055598938,0
"X0.10.2",12.8980312711028,17.3757207417796,3.74006545114539,0,2.08300867487403,1.94275622045608,1.39733000883071,0,0.820736585112462,0.00519453534881305,0.332450262324035,0.2389486260454,0
"X0.11.2",17.2639112171343,15.6407198050096,3.47456308665664,0,2.5929575273557,2.58258569724628,1.33278016906083,0,0.902349219519784,0,0.248923922626147,0.145205621531919,0
"X0.12.2",18.62847041697,13.5437246542581,2.73474056358532,0,2.78153270250598,2.85951960070708,1.10741395445565,0,0.961838411146927,0,0.114380784028283,0.0519912654674015,0
"X0.13.2",26.7550217436322,6.42472561606958,1.26837854628287,0,4.20376889625181,3.84655208117623,0.585007247877407,0,1.50134603437565,0,0.0569476082004556,0.0465934976185546,0
"X0.14.2",39.1971968877209,2.03534807028392,0.468902973154017,0,6.10604421085175,5.37950224145927,0.190652857216468,0.00515277992476941,2.0044313907353,0,0.0309166795486165,0.0206111196990777,0
"X0.15.2",36.4620380392763,3.53074583784341,0.675222926653265,0,5.52033400340189,5.19045410030411,0.309262409154167,0,1.68032575640431,0,0.0103087469718056,0.0206174939436112,0
"X0.1.3",6.37331663012841,14.8032153669485,3.39283850088736,0.297525837770122,1.19532310262032,0.996972544106901,1.05438981104499,0.135713540035494,0.344503601628562,0.260987576991335,1.39889341267356,1.04395030796534,0.167032049274455
"X0.2.3",2.50297973778308,15.5671866093175,3.51868166036171,10.3021195004405,0.388661449966316,0.440482976628491,0.756594289267762,4.28564025496191,0.119189511323004,3.07819868373322,1.63756024252474,0.730683525936674,1.05715914390838
"X0.3.3",3.74339857098478,35.2231541886714,9.46981464222844,0.0621310966138552,0.616133374754064,0.667909288598944,2.89427358392876,0.0258879569224397,0.191570881226054,0.0258879569224397,1.84840012426219,1.34617375996686,0.0155327741534638
"X0.4.3",0.835352962409117,41.623266126953,9.54983757025731,0.0360954983757026,0.154694993038725,0.118599494663023,2.70716237817769,0,0.0618779972154901,0.010312999535915,5.34213375960398,3.85190532666426,0
"X0.5.3",0.225641025641026,57.7128205128205,16.6205128205128,0.00512820512820513,0.0358974358974359,0.041025641025641,3.99487179487179,0,0.0153846153846154,0,1.79487179487179,1.45128205128205,0
"X0.6.3",0.318831636326237,55.5075593952484,17.8699989715108,0,0.0514244574719737,0.0411395659775789,4.94189036305667,0,0.0205697829887895,0,1.99526894991258,1.3576056772601,0
"X0.7.3",0.293390982087708,57.8700844142475,17.4438954086885,0.0154416306361952,0.0566193123327157,0.0360304714844554,4.52954498661725,0,0.0154416306361952,0,1.52357422277126,0.952233889232036,0
"X0.8.3",1.04112978043501,47.0776208638285,12.6430264921142,0,0.139160911246263,0.139160911246263,3.0048448613545,0,0.0618492938872281,0,0.484486135449954,0.335017008555819,0
"X0.9.3",0.318569520090433,55.1690473743706,17.6497790566232,0,0.0719350529236461,0.0513821806597472,4.83506320008221,0,0.0308293083958483,0,0.760456273764259,0.518960024663447,0
"X0.10.3",0.220977439745105,48.394059304178,14.4097846754715,0,0.0616681227195642,0.0462510920396732,3.76689449612005,0,0.00513901022663035,0,0.43167685903695,0.246672490878257,0
"X0.11.3",0.201051654809774,56.2480668110114,17.409011238272,0,0.0412413650891845,0.0206206825445922,4.43860191772348,0,0,0,0.175275801629034,0.103103412722961,0
"X0.12.3",0.515198351365276,55.0489438433797,17.1870170015456,0,0.0824317362184441,0.0669757856774858,4.49768160741886,0,0.0412158681092221,0,0.14940752189593,0.108191653786708,0
"X0.13.3",0.354719309068476,56.5854410857495,17.6948385770101,0,0.0771128932757557,0.0462677359654534,4.85297141682089,0,0.0205634382068682,0,0.113098910137775,0.0359860168620193,0
"X0.14.3",0.519360312644624,58.6671466035892,17.9564971460894,0,0.0719905383863835,0.0719905383863835,5.12675476937317,0,0.0154265439399393,0,0.0617061757597573,0.0257109065665655,0
"X0.15.3",0.521963824289406,56.5736434108527,18.1188630490956,0,0.062015503875969,0.0775193798449612,4.96640826873385,0,0.020671834625323,0,0.0465116279069767,0.0361757105943152,0
